t=204.86s | axis_2 | normal → alert | residual=10.83
t=206.77s | axis_2 | alert → normal | residual=-3.56
t=214.38s | axis_2 | normal → alert | residual=18.02
t=216.26s | axis_2 | alert → normal | residual=-7.18
t=226.06s | axis_2 | normal → alert | residual=14.08
t=227.98s | axis_2 | alert → normal | residual=4.51
t=269.37s | axis_2 | normal → alert | residual=16.06
t=271.33s | axis_2 | alert → normal | residual=-0.02
t=326.18s | axis_2 | normal → alert | residual=14.12
t=328.05s | axis_2 | alert → normal | residual=1.59
t=451.99s | axis_2 | normal → error | residual=21.10
t=453.91s | axis_2 | error → normal | residual=1.30
t=953.50s | axis_2 | normal → alert | residual=10.48
t=955.39s | axis_2 | alert → normal | residual=3.07
t=965.03s | axis_2 | normal → alert | residual=13.16
t=966.85s | axis_2 | alert → normal | residual=6.93
t=1008.52s | axis_2 | normal → alert | residual=10.26
t=1010.45s | axis_2 | alert → normal | residual=1.57
t=1018.11s | axis_2 | normal → alert | residual=14.95
t=1020.01s | axis_2 | alert → normal | residual=7.32
t=1066.85s | axis_2 | normal → alert | residual=12.44
t=1072.63s | axis_2 | alert → normal | residual=-0.55
t=1106.62s | axis_2 | normal → alert | residual=11.08
t=1112.79s | axis_2 | alert → normal | residual=1.99
t=1122.32s | axis_2 | normal → error | residual=29.82
t=1124.26s | axis_2 | error → normal | residual=1.74
t=1128.02s | axis_2 | normal → error | residual=37.17
t=1129.99s | axis_2 | error → normal | residual=0.13
t=1189.12s | axis_2 | normal → alert | residual=10.60
t=1191.07s | axis_2 | alert → normal | residual=0.93
t=1598.68s | axis_2 | normal → alert | residual=18.86
t=1600.58s | axis_2 | alert → normal | residual=-2.45
t=1606.49s | axis_2 | normal → alert | residual=10.00
t=1608.40s | axis_2 | alert → normal | residual=-8.27
t=1610.21s | axis_2 | normal → alert | residual=10.98
t=1612.17s | axis_2 | alert → normal | residual=-6.59
t=1642.56s | axis_2 | normal → alert | residual=11.28
t=1644.55s | axis_2 | alert → normal | residual=1.33
t=1660.07s | axis_2 | normal → alert | residual=10.51
t=1664.02s | axis_2 | alert → normal | residual=-9.44
t=1703.83s | axis_2 | normal → alert | residual=13.50
t=1705.69s | axis_2 | alert → normal | residual=6.74
t=2459.04s | axis_2 | normal → alert | residual=12.38
t=2461.00s | axis_2 | alert → normal | residual=-7.30
t=2470.96s | axis_2 | normal → alert | residual=15.70
t=2474.81s | axis_2 | alert → normal | residual=-10.04
t=2520.89s | axis_2 | normal → alert | residual=10.17
t=2522.80s | axis_2 | alert → normal | residual=-0.70
t=2558.56s | axis_2 | normal → alert | residual=13.87
t=2560.43s | axis_2 | alert → normal | residual=-3.54
t=2570.07s | axis_2 | normal → error | residual=20.97
t=2571.94s | axis_2 | error → normal | residual=9.55
t=2615.29s | axis_2 | normal → alert | residual=19.98
t=2617.26s | axis_2 | alert → normal | residual=0.71
t=2619.19s | axis_2 | normal → alert | residual=18.42
t=2621.04s | axis_2 | alert → normal | residual=0.74
t=2622.89s | axis_2 | normal → alert | residual=11.67
t=2624.85s | axis_2 | alert → normal | residual=-0.71
t=2963.17s | axis_2 | normal → alert | residual=14.72
t=2965.17s | axis_2 | alert → normal | residual=2.56
t=2973.01s | axis_2 | normal → alert | residual=10.69
t=2974.87s | axis_2 | alert → normal | residual=0.92
t=3008.74s | axis_2 | normal → error | residual=33.16
t=3010.75s | axis_2 | error → normal | residual=-9.35
t=3020.26s | axis_2 | normal → alert | residual=14.58
t=3022.23s | axis_2 | alert → normal | residual=1.58
t=3206.01s | axis_2 | normal → alert | residual=10.50
t=3207.95s | axis_2 | alert → normal | residual=0.49
t=3213.64s | axis_2 | normal → error | residual=27.80
t=3215.64s | axis_2 | error → normal | residual=-0.37
t=3227.39s | axis_2 | normal → alert | residual=12.83
t=3229.33s | axis_2 | alert → normal | residual=-2.34
t=3269.07s | axis_2 | normal → alert | residual=15.83
t=3270.94s | axis_2 | alert → normal | residual=5.86
t=3310.91s | axis_2 | normal → alert | residual=16.23
t=3312.86s | axis_2 | alert → normal | residual=1.31
t=3360.64s | axis_2 | normal → alert | residual=10.65
t=3362.61s | axis_2 | alert → normal | residual=-0.23
t=3368.42s | axis_2 | normal → error | residual=34.78
t=3374.05s | axis_2 | error → normal | residual=1.62
t=3379.97s | axis_2 | normal → alert | residual=12.97
t=3381.84s | axis_2 | alert → normal | residual=0.99
t=3412.06s | axis_2 | normal → alert | residual=12.42
t=3413.92s | axis_2 | alert → normal | residual=0.23
t=3427.47s | axis_2 | normal → error | residual=37.10
t=3429.42s | axis_2 | error → normal | residual=1.70
