t=206.77s | axis_7 | normal → error | residual=5.70
t=208.62s | axis_7 | error → normal | residual=-0.39
t=218.19s | axis_7 | normal → error | residual=5.61
t=220.10s | axis_7 | error → normal | residual=-2.06
t=222.11s | axis_7 | normal → error | residual=5.04
t=226.06s | axis_7 | error → normal | residual=-2.43
t=263.50s | axis_7 | normal → error | residual=5.57
t=267.46s | axis_7 | error → normal | residual=-0.70
t=273.22s | axis_7 | normal → error | residual=5.68
t=275.17s | axis_7 | error → normal | residual=-1.42
t=277.10s | axis_7 | normal → error | residual=5.80
t=279.02s | axis_7 | error → normal | residual=-1.85
t=286.59s | axis_7 | normal → alert | residual=1.23
t=288.55s | axis_7 | alert → normal | residual=0.78
t=329.96s | axis_7 | normal → error | residual=5.80
t=331.87s | axis_7 | error → normal | residual=-1.93
t=339.58s | axis_7 | normal → error | residual=5.49
t=341.54s | axis_7 | error → normal | residual=-0.63
t=351.14s | axis_7 | normal → alert | residual=2.67
t=354.90s | axis_7 | alert → normal | residual=-1.65
t=377.67s | axis_7 | normal → error | residual=5.63
t=379.62s | axis_7 | error → normal | residual=-1.93
t=387.38s | axis_7 | normal → error | residual=5.63
t=389.36s | axis_7 | error → normal | residual=-0.86
t=391.23s | axis_7 | normal → error | residual=5.72
t=393.20s | axis_7 | error → normal | residual=-1.63
t=397.11s | axis_7 | normal → alert | residual=1.46
t=398.98s | axis_7 | alert → normal | residual=-2.17
t=400.90s | axis_7 | normal → alert | residual=2.59
t=402.77s | axis_7 | alert → normal | residual=0.89
t=451.99s | axis_7 | normal → error | residual=5.71
t=453.91s | axis_7 | error → normal | residual=-1.86
t=463.40s | axis_7 | normal → error | residual=5.54
t=465.31s | axis_7 | error → normal | residual=-0.61
t=472.99s | axis_7 | normal → alert | residual=2.62
t=474.90s | axis_7 | alert → normal | residual=0.60
t=503.18s | axis_7 | normal → error | residual=5.78
t=505.09s | axis_7 | error → normal | residual=-1.48
t=516.94s | axis_7 | normal → error | residual=5.07
t=919.48s | axis_7 | error → normal | residual=0.51
t=949.39s | axis_7 | normal → error | residual=5.64
t=951.48s | axis_7 | error → normal | residual=-1.19
t=959.26s | axis_7 | normal → error | residual=5.51
t=961.13s | axis_7 | error → normal | residual=-1.33
t=963.07s | axis_7 | normal → error | residual=4.87
t=965.03s | axis_7 | error → normal | residual=-2.31
t=970.64s | axis_7 | normal → alert | residual=2.83
t=972.48s | axis_7 | alert → normal | residual=0.92
t=996.97s | axis_7 | normal → error | residual=3.46
t=998.82s | axis_7 | error → normal | residual=0.27
t=1000.72s | axis_7 | normal → error | residual=5.85
t=1002.59s | axis_7 | error → normal | residual=-2.29
t=1006.59s | axis_7 | normal → error | residual=5.64
t=1014.17s | axis_7 | error → normal | residual=-1.88
t=1016.13s | axis_7 | normal → error | residual=5.30
t=1018.11s | axis_7 | error → normal | residual=-1.94
t=1020.01s | axis_7 | normal → alert | residual=1.10
t=1021.93s | axis_7 | alert → normal | residual=-1.53
t=1051.96s | axis_7 | normal → error | residual=5.88
t=1053.78s | axis_7 | error → normal | residual=-1.89
t=1063.19s | axis_7 | normal → error | residual=5.82
t=1065.04s | axis_7 | error → normal | residual=-1.51
t=1066.85s | axis_7 | normal → error | residual=5.45
